scenario: /home/moot/projects/panoptikon/tools/calibration-protocol/results/final/S5-oom2/S5
inputs:   vramrec 200 samples, healthrec 100, hog 0, log 285 events, probes 0, profiles after 1

CHECK                VERDICT  DETAIL
-------------------  -------  ------------------------------------------------------------
oracle_agreement     PASS     worst |external_mb - oracle| = 1 MiB over 2 joined GPU-samples; 0 outside the allowance; 86 further samples priced no PID and were skipped
base_accuracy        SKIP     no replica reported a base_mb
footprint_agreement  INFO     worst |footprints_mb - Sum(our PIDs)| = 362 MiB over 2 GPU-samples (report-only: footprints exclude pool growth the grant already counts)
slope_accuracy       SKIP     no ceiling_probe result: pass --probe probe-<model>.json (and bisect-<model>.json), or drop probe*.json into the scenario directory. The store itself holds 1 profile(s), so this is a missing input, not a missing measurement
grant_safety         PASS     13 grants; 0 exceeded the headroom they were priced against; 0 exceeded the oracle's live free memory plus their own pool (13 joined); 0 were memory-blind (mb=0, B1)
failures             WARN     1 OOM negatives (expected <= 1), 0 throughput-collapse negatives, 0 unified-memory-device death negatives, 0 fatal worker deaths (expected <= 0), 1 merged-window fallbacks (0 OOM); tiers marker/trusted=1
deflation_recovery   SKIP     no workers in any health sample
idle_liveness        PASS     final grants_outstanding = 0 over the last 60s (100 samples); 0 sample(s) held a grant with no pending request
utilization          WARN     no worker appears in any of the 100 health samples: nothing was ever admitted, so there is no utilization to measure; this is a *result*, not a missing input: WARN, or FAIL when the leg declares itself a learning scenario (--learning / --checks calibration_learned)
throughput           INFO     60.000 items/s over 1 job(s); no baseline given (--baseline-jobs/--baseline-items-per-s)
persistence          PASS     worst anchor-advance -> store-write delay 30.0s [threshold 30s]; 2 write(s), 1 profile(s)
job_outcome          PASS     1 job record(s): 1 completed, 0 failed item(s) (expected <= 0), 0 errors; queue outcomes: ['completed', 'completed', 'completed', 'completed', 'completed']
ledger_invariant     PASS     strict: 0 of 198 GPU-samples had charges + load reservations > limit_mb (0 over_grant, a grant issued in that sample beyond its priced headroom; 0 limit_fell, the limit dropping under a footprint or reservation already held). our own residents: 0 of 13 grants exceeded the headroom they were priced against
peak_fds             INFO     peak 49 open descriptors over 100 samples, 11 of them sockets at the peak of that series; soft limit 1048576 (0% of it)
hog_tracking         SKIP     needs hog.jsonl and healthrec.jsonl
ramp_progress        SKIP     no workers in any health sample
calibration_learned  INFO     no worker series; 1 profile(s) in the store  -- NOTHING WAS LEARNED: no worker appears in any health sample  [report-only: this leg did not declare itself a learning scenario -- pass --learning, or name calibration_learned in --checks, to make it a verdict]
alloc_retries        PASS     0 allocator retries over 13 reporting windows: calibfixture/oom_second_batch_cuda 0 over 13 windows (0.0/window, 0 retried)
json: wrote /home/moot/projects/panoptikon/tools/calibration-protocol/results/final/S5-oom2/S5/verdicts.json
